SPEAKER,SENTENCE,DATAID,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스
고객,첫 방문 할인 되나요?,16321031,E,생활서비스,미용실,1,1,할인 문의,,Q,,첫 방문 할인되나요?,,,,"첫, 방문, 할인",,
점원,"네, 30프로 됩니다.",16321031,E,생활서비스,미용실,0,2,할인 문의,,A,,,,,"네, 30프로 됩니다.",30프로,,30프로/할인율
고객,몇 시까지가야 펌 할 수 있나요?,16321031,E,생활서비스,미용실,1,3,원하는 시간에 예약이 가능 문의,,Q,,몇 시까지 가야 펌 할 수 있나요?,,,,"몇 시, 펌",,펌/시술
점원,오후 6시까지는 오셔야 합니다.,16321031,E,생활서비스,미용실,0,4,원하는 시간에 예약이 가능 문의,,A,,,,,오후 6시까지는 오셔야 합니다.,오후 6시,,오후 6시/시간
고객,두피 케어 서비스는 얼마 인가요?,16321031,E,생활서비스,미용실,1,5,모발 케어 서비스 가격 문의,,Q,,두피 케어 서비스는 얼마인가요?,,,,두피 케어 서비스,,두피 케어 서비스/시술
점원,제품마다 가격이 상이합니다. ,16321031,E,생활서비스,미용실,0,6,모발 케어 서비스 가격 문의,,A,,,,,제품마다 가격이 상이합니다.,"제품, 가격, 상이",,
고객,염색약은 뭐 쓰시나요?,16321031,E,생활서비스,미용실,1,7,염색 제품 문의,,Q,,염색약은 뭐 쓰시나요?,,,,염색약,,염색약/제품
점원,로레알 사용합니다.,16321031,E,생활서비스,미용실,0,8,염색 제품 문의,,A,,,,,로레알 사용합니다.,로레알,,로레알/브랜드
고객,커트하고 머리 감겨 주나요?,16321031,E,생활서비스,미용실,1,9,샴푸 서비스 문의,,Q,,커트하고 머리 감겨 주나요?,,,,"커트, 머리",,"커트/시술, 머리/부위"
점원,"네, 감겨드립니다. ",16321031,E,생활서비스,미용실,0,10,샴푸 서비스 문의,,A,,,,,"네, 감겨드립니다. ",,,
고객,커트 얼마인가요?,16335631,E,생활서비스,미용실,1,1,커트 가격 문의,,Q,,커트 얼마인가요?,,,,커트,,커트/시술
점원,12000원입니다,16335631,E,생활서비스,미용실,0,2,커트 가격 문의,,A,,,,,12000원입니다,12000원,,12000원/금액
고객,혹시 원장 선생님 계시나요?,16335631,E,생활서비스,미용실,1,3,선생님별 스케줄 문의,,Q,,혹시 원장 선생님 계시나요?,,,,원장 선생님,,원장 선생님/미용사
점원,아뇨 지금은 출장가셨어요,16335631,E,생활서비스,미용실,0,4,선생님별 스케줄 문의,,A,,,,,아뇨 지금은 출장 가셨어요,출장,,
고객,숏컷 가능한가요?,16335631,E,생활서비스,미용실,1,5,커트 문의,,Q,,쇼트커트 가능한가요?,,,,쇼트커트,,쇼트커트/시술
점원,네 가능합니다,16335631,E,생활서비스,미용실,0,6,커트 문의,,A,,,,,네 가능합니다,,,
고객,두피 클리닉은 한번에 얼마에요?,16335631,E,생활서비스,미용실,1,7,두피 케어 서비스 가격 문의,,Q,,두피 클리닉은 한 번에 얼마에요?,,,,"두피 클리닉, 한 번",,"두피 클리닉/시술, 한 번/횟수"
점원,만원입니다,16335631,E,생활서비스,미용실,0,8,두피 케어 서비스 가격 문의,,A,,,,,만 원입니다,만 원,,만 원/금액
고객,그럼 커트랑 클리닉이랑 결제해주세요,16335631,E,생활서비스,미용실,1,9,결제 요청,,Q,,그럼 커트랑 클리닉이랑 결제해주세요,,,,"커트, 클리닉",,"커트/시술, 클리닉/시술"
점원,네 알겠습니다,16335631,E,생활서비스,미용실,0,10,결제 요청,,A,,,,,네 알겠습니다,,,
고객,지금 제 머리에 염색 가능할까요?,16321557,E,생활서비스,미용실,1,1,염색 문의,,Q,,지금 제 머리에 염색 가능할까요?,,,,"머리, 염색",,"머리/부위, 염색/시술"
점원,"네, 가능합니다.",16321557,E,생활서비스,미용실,0,2,염색 문의,,A,,,,,"네, 가능합니다.",,,
고객,염색 시술 비용 알려주시겠어요?,16321557,E,생활서비스,미용실,1,3,염색 가격 문의,,Q,,염색 시술 비용 알려주시겠어요?,,,,"염색, 시술, 비용",,염색/시술
