SPEAKER,SENTENCE,DATAID,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스
고객,삼겹살 1근에 얼마에요?,16335872,D,소매,정육점,1,1,가격 문의,,Q,,삼겹살 1근에 얼마에요?,,,,"삼겹살, 1근",,"삼겹살/부위, 1근/중량"
점원,만원입니다,16335872,D,소매,정육점,0,2,가격 문의,,A,,,,,만원입니다,만원,,만원/금액
고객,넷이 먹을건데 2근이면 되나요?,16335872,D,소매,정육점,1,3,0인분 용량 문의,,Q,,넷이 먹을 건데 2근이면 되나요?,,,,"넷, 2근",,"넷/인원, 2근/중량"
점원,네 충분하세요,16335872,D,소매,정육점,0,4,0인분 용량 문의,,A,,,,,네 충분하세요,,,
고객,그럼 2근주세요,16335872,D,소매,정육점,1,5,용량별 고기 주문,,Q,,그럼 2근 주세요,,,,2근,,2근/중량
점원,따로 필요한건 없으신가요?,16335872,D,소매,정육점,0,6,용량별 고기 주문,공통,Q,,,따로 필요한 건 없으신가요?,,,,,
고객,살코기 위주로 주시겠어요?,16335872,D,소매,정육점,1,7,지방 비율,,Q,,살코기 위주로 주시겠어요?,,,,살코기,,살코기/부위
점원,네 지방은 덜어서 드릴게요,16335872,D,소매,정육점,0,8,지방 비율,,A,,,,,네 지방은 덜어서 드릴게요,지방,,지방/부위
고객,그리고 한근씩 따로 포장해주세요,16335872,D,소매,정육점,1,9,포장방법 요청,,Q,,그리고 한 근씩 따로 포장해주세요,,,,"한 근, 따로, 포장",,한 근/중량
점원,네,16335872,D,소매,정육점,0,10,포장방법 요청,,A,,,,,네,,,
고객,오늘은 어떤 고기가 괜찮아요?,16334849,D,소매,정육점,1,1,인기부위 문의주문,,Q,,오늘은 어떤 고기가 괜찮아요?,,,,"오늘, 고기",,"오늘/날짜, 고기/상품"
점원,오늘은 안심이랑 뒷다리가 괜찮아요,16334849,D,소매,정육점,0,2,인기부위 문의주문,,A,,,,,오늘은 안심이랑 뒷다리가 괜찮아요,"오늘, 안심, 뒷다리",,"오늘/날짜, 안심/부위, 뒷다리/부위"
고객,그럼 뒷다리로 주세요,16334849,D,소매,정육점,1,3,부위별 고기 주문,,Q,,그럼 뒷다리로 주세요,,,,뒷다리,,뒷다리/부위
점원,뒷다리상태 아주 좋아요,16334849,D,소매,정육점,0,4,부위별 고기 주문,,A,,,,,뒷다리상태 아주 좋아요,뒷다리상태,,뒷다리/부위
고객,한우인가요?,16334849,D,소매,정육점,1,5,원산지 문의,,Q,,한우인가요?,,,,한우,,한우/원산지
점원,네 한우로 찾으세요?,16334849,D,소매,정육점,0,6,원산지 문의,원산지 확인,Q,,,네 한우로 찾으세요?,,,한우,,한우/원산지
고객,네 장조림용 고기도 500g만 주실 수 있을까요?,16334849,D,소매,정육점,1,7,용도별 고기 주문,,Q,,네 장조림용 고기도 500g만 주실 수 있을까요?,,,,"장조림, 고기, 500g",,"장조림/용도, 고기/상품, 500g/중량"
점원,네 잠시만 기다리세요,16334849,D,소매,정육점,0,8,용도별 고기 주문,,A,,,,,네 잠시만 기다리세요,,,
고객,다 따로 포장해주세요,16334849,D,소매,정육점,1,9,포장방법 요청,,Q,,다 따로 포장해주세요,,,,"다, 따로, 포장",,
점원,네 감사합니다,16334849,D,소매,정육점,0,10,포장방법 요청,,A,,,,,네 감사합니다,,,
고객,LA갈비용 소갈비 있나요?,16334852,D,소매,정육점,1,1,용도별 고기 문의,,Q,,LA갈비용 소갈비 있나요?,,,,"LA갈비, 소갈비",,"LA갈비용/용도, 소갈비/부위"
점원,네 얼마나 드릴까요?,16334852,D,소매,정육점,0,2,용도별 고기 문의,고기 용량 확인,Q,,,네 얼마나 드릴까요?,,,,,
고객,1킬로 정도 필요해요,16334852,D,소매,정육점,1,3,용도별 고기 문의,고기 용량 확인,A,,,,1킬로 정도 필요해요,,1킬로,,1킬로/무게
